id,company_name,location,country,website,contact_emails,contact_role,description,employee_estimate,source_platform,source_job
614,Mobilus Labs,"London, England, United Kingdom",United Kingdom,https://mobiluslabs.com/,,engineering / studio lead,Mobile app studio or product company hiring mobile engineers.,11-50,LinkedIn,Software Engineer (Mobile)
615,Murmuration,"Manchester, England, United Kingdom",United Kingdom,https://www.murmurationsolutions.com,,engineering / founders,Fintech software company hiring engineers for financial products.,11-50,LinkedIn,Payments Integration Specialist
616,Nested,"London, United Kingdom",United Kingdom,https://nested.com,,,UK proptech software company.,11-50,LinkedIn,Software Engineer
617,Own Your Space,"Bolton, England, United Kingdom",United Kingdom,https://ownyourspace.com,,engineering / agency lead,Results-driven digital agency hiring Shopify developers for client storefront builds.,2-10,LinkedIn,Shopify Developer
618,"PACE Anti-Piracy, Inc","Glasgow, Scotland, United Kingdom",United Kingdom,https://www.paceap.com,,engineering / agency lead,Software company / tech team hiring developers (sourced via LinkedIn Jobs).,11-50,LinkedIn,Software Engineer — Linux App Developer
619,Paloma Health,"London Area, United Kingdom",United Kingdom,https://www.paloma.health/,,engineering / founders,Healthtech / digital health software company hiring engineers.,51-100,LinkedIn,Full Stack Engineer
620,Penfold,"Manchester / London, United Kingdom",United Kingdom,https://www.penfold.com,,,UK pensions fintech hiring senior full-stack engineers.,11-50,LinkedIn,Senior Full Stack Engineer
621,PurpleSector,"England, United Kingdom",United Kingdom,https://purplesector.co.uk,,engineering lead,UK software studio hiring full stack engineers.,2-10,LinkedIn,Full Stack Engineer
622,Scaletek,"Birmingham, England, United Kingdom",United Kingdom,https://scaletek.co.uk,,engineering lead,Birmingham software engineering firm hiring senior PHP developers.,2-10,LinkedIn,Senior PHP Developer
623,Seedrs,"London, United Kingdom",United Kingdom,https://www.seedrs.com,,,UK equity investment platform.,11-50,Indeed,Software Engineer
624,The Flex,"Birmingham, England, United Kingdom",United Kingdom,https://theflex.global,,product engineering,Birmingham product/software startup hiring full-stack product engineers.,2-10,LinkedIn,Full-Stack Product Engineer
625,Uniting Ambition,"Manchester, England, United Kingdom",United Kingdom,https://www.unitingambition.com,,agency leadership / hiring,"At Uniting Ambition, we partner with technology...",11-50,LinkedIn,Full Stack Engineer
626,Updraft,"London, United Kingdom",United Kingdom,https://www.updraft.co.uk,,,UK consumer finance/fintech hiring backend developers.,11-50,LinkedIn,Senior Backend Developer (Django/Python)
627,Urban Digital Recruitment Ltd,"London Area, United Kingdom",United Kingdom,https://urbandigitalrecruitment.com/,,founders / engineering,Digital agency hiring web/software developers.,2-10,LinkedIn,Senior Full-Stack Engineer - Foodtech Start-up
628,Userled,"London, United Kingdom",United Kingdom,https://userled.io,,,AI-native B2B GTM orchestration SaaS hiring product engineers.,11-50,LinkedIn,Product Engineer
629,VENDED,"West Midlands, England, United Kingdom",United Kingdom,https://vended.co.uk,,founders,Growing West Midlands ecommerce/software venture posting speculative hiring for future tech roles.,2-10,LinkedIn,We’re not hiring right now — but we’re growing fast.
630,Zuma Labs,"London Area, United Kingdom",United Kingdom,https://www.zumaltd.com,,engineering / founders,Software company / tech team hiring developers (sourced via LinkedIn Jobs).,2-10,LinkedIn,Backend Engineer
631,10x,"San Francisco, CA",United States,https://www.10xdental.com,,engineering hiring,AI Sales Teams for Dental Practices,~2,LinkedIn,Founding Engineer / Software Engineer
632,10x Science,"San Francisco, CA",United States,https://10xscience.com,,engineering hiring,"The AI-native platform for next-generation protein characterization. Tags: SaaS, B2B, Biotech, AI",~3,LinkedIn,Founding Engineer / Software Engineer
633,a0.dev,"San Francisco, CA",United States,https://a0.dev,,engineering hiring,"We make mobile apps using AI. Tags: Artificial Intelligence, Developer Tools, Generative AI, Design",~3,LinkedIn,Founding Engineer / Software Engineer
634,Abundant,"San Francisco, CA",United States,https://www.abundant.ai,,engineering hiring,"Agent simulation and RL for researchers Tags: AIOps, Artificial Intelligence, API, AI",1-10,LinkedIn,Founding Engineer / Software Engineer
635,Adam,"San Francisco, CA",United States,https://adam.new,,engineering hiring,"AI Powered CAD Tags: Hardware, Design, AI",~4,LinkedIn,Founding Engineer / Software Engineer
636,Adaptional,"San Francisco, CA",United States,https://www.adaptional.com,,engineering hiring,"AI-powered insurance claims review Tags: AIOps, Artificial Intelligence, Insurance, Enterprise, Enterprise Software",1-20,LinkedIn,Founding Engineer / Software Engineer
637,Adidev Technologies,"Austin, TX",United States,https://adidevtechnologies.com,,hiring,Mobile development services firm hiring Android developers in Austin.,11-50,Indeed,Jr - Mid Android Mobile Developer
638,Aemon,"San Francisco, CA",United States,https://aemon.ai,,engineering hiring,The Forward-Deployed AI Research Engineer,~3,LinkedIn,Founding Engineer / Software Engineer
639,AfterQuery,"San Francisco, CA",United States,https://afterquery.com,,engineering hiring,"Applied research lab curating data solutions for foundation model… Tags: Artificial Intelligence, B2B, Data Labeling, Big Data, AI",11-50,LinkedIn,Founding Engineer / Software Engineer
640,AgentMail,"San Francisco, CA",United States,https://agentmail.to,,engineering hiring,"Email Inboxes for AI Agents Tags: Developer Tools, API, Email",1-10,LinkedIn,Founding Engineer / Software Engineer
641,Agile Six,"Washington, DC",United States,https://agilesix.com,,hiring,Service-disabled veteran-owned digital services firm building VA.gov experiences.,11-50,LinkedIn,Fullstack Engineer
642,AI Fund,"San Francisco, CA",United States,https://www.aifund.ai/,,engineering / agency lead,"AI Fund is a venture studio. We collaborate with entrepreneurs, venture funds, and corporate partners to ...",11-50,LinkedIn,Founding Engineer (AI-Native)
643,AirCaps,"San Francisco, CA",United States,https://aircaps.com,,engineering hiring,The AI copilot for in-person conversations.,~5,LinkedIn,Founding Engineer / Software Engineer
644,Airgoods,United States,United States,https://www.airgoods.com,,hiring,Specialty food wholesale marketplace (11-50) hiring mobile engineer for React Native app.,11-50,LinkedIn,Mobile Engineer
645,Airweave,"San Francisco, CA",United States,https://airweave.ai,,engineering hiring,The open-source context retrieval layer for agents,1-10,LinkedIn,Founding Engineer / Software Engineer
646,Allus AI,"Atlanta, GA",United States,https://allus.ai,,engineering hiring,"Transforming manufacturing with our next-gen Vision Foundation Model Tags: Artificial Intelligence, Machine Learning, SaaS, Computer Vision, Manufacturing",~3,LinkedIn,Founding Engineer / Software Engineer
647,Almond,"San Francisco, CA",United States,https://almond.bot,,engineering hiring,"A dual-arm robot built for physical AI. Tags: Artificial Intelligence, Hardware, Robotics, Manufacturing, Automation",~3,LinkedIn,Founding Engineer / Software Engineer
648,Ambral,"New York City, NY",United States,https://www.ambral.com,,engineering hiring,AI for account management and customer success,~3,LinkedIn,Founding Engineer / Software Engineer
649,Americaneagle.com,"Chicago, IL",United States,https://www.americaneagle.com,,hiring,"Family-owned web design, development, and digital marketing agency hiring WordPress architects.",51-100,Indeed,WordPress Architect
650,Anatta Design,United States (Remote),United States,https://anatta.io,,hiring,Shopify Platinum Partner agency building ecommerce experiences on Shopify Plus.,11-50,Indeed,Shopify Full Stack Developer (Contract)
651,Anchour,"New Gloucester, ME, United States",United States,https://www.anchour.com,,agency lead,Maine digital agency hiring front-end developers for client web/Shopify work.,11-50,LinkedIn,Front-End Developer
652,Andco,"San Francisco, CA",United States,https://www.useandco.com,,engineering hiring,Agents that build personal injury cases,~3,LinkedIn,Founding Engineer / Software Engineer
653,ANORIA,"San Francisco, CA",United States,https://www.anoria.com,,engineering hiring,The first wearable that reads your emotions to enhance your EQ.,~5,LinkedIn,Founding Engineer / Software Engineer
654,AnswerThis,"San Francisco, CA",United States,https://answerthis.io,,engineering hiring,End-to-end workspace to accelerate scientific discovery,1-10,LinkedIn,Founding Engineer / Software Engineer
655,Antigen,"San Francisco, CA",United States,https://antigen.sh,,engineering hiring,"Continuous offensive security for the enterprise. Tags: Artificial Intelligence, Cybersecurity",~5,LinkedIn,Founding Engineer / Software Engineer
656,Aravolta,"San Francisco, CA",United States,https://www.aravolta.com,,engineering hiring,"Software to monitor, control, and optimize data centers. Tags: Enterprise Software, Cloud Computing, Monitoring",~4,LinkedIn,Founding Engineer / Software Engineer
657,Archon,"San Francisco, CA",United States,https://archon.inc,,engineering hiring,"We help software companies sell to government. Tags: GovTech, Compliance, Cybersecurity, Cloud Computing",~3,LinkedIn,Founding Engineer / Software Engineer
658,Ardent,"San Francisco, CA",United States,https://tryardent.com,,engineering hiring,Database sandboxes for Agents,~2,LinkedIn,Founding Engineer / Software Engineer
659,Arlo Industries,"San Francisco, CA",United States,https://arlo1.com,,engineering hiring,"Track drones and missiles without radars - Accurate, Passive, Scalable Tags: Hard Tech, Hardware, Defense",~3,LinkedIn,Founding Engineer / Software Engineer
660,Artifact,"New York City, NY",United States,https://www.artifact.engineer,,engineering hiring,"An Collaborative, AI-native IDE for Hardware Engineers",~3,LinkedIn,Founding Engineer / Software Engineer
661,Arzana,"San Francisco, CA",United States,https://www.arzana.com,,engineering hiring,The autonomous ERP for every manufacturer,~5,LinkedIn,Member of Technical Staff
662,Asendia AI,"San Francisco, CA",United States,https://asendia.ai,,engineering hiring,AI recruiters for staffing agencies,~3,LinkedIn,Product Engineer
663,Asimov,"San Francisco, CA",United States,https://tryasimov.ai,,engineering hiring,Real-world human movement data for humanoid robots,~3,LinkedIn,Founding Engineer / Software Engineer
664,Aspect,"New York City, NY",United States,https://aspect.inc,,engineering hiring,Intelligent media storage for creative teams.,~3,LinkedIn,Founding Engineer / Software Engineer
665,Asteroid,"San Francisco, CA",United States,https://asteroid.ai,,engineering hiring,"AI Browser Workforce for Operations Teams Tags: Robotic Process Automation, Health Tech, B2B, Automation, AI",1-10,LinkedIn,Founding Engineer / Software Engineer
666,Astraea,"San Francisco, CA",United States,https://tryastraea.com,,engineering hiring,AI Operating System for Clinical Development,~2,LinkedIn,Founding Engineer
667,Asylon,"Norristown, PA",United States,https://www.asylonrobotics.com,,hiring,Robotics security startup hiring frontend/UX engineers for autonomous systems software.,11-50,Indeed,Frontend Engineer/UX Engineer
668,AthenaHQ,"San Francisco, CA",United States,https://www.athenahq.ai,,engineering hiring,"Be the Answer in AI Search - AI SEO across SEO, GEO & AEO",11-50,LinkedIn,Founding Engineer / Software Engineer
669,AtlasGrid,"San Francisco, CA",United States,https://atlasgrid.ai,,engineering hiring,Accelerate Product Iteration,1-10,LinkedIn,Founding Engineer / Software Engineer
670,Atlog,"New York, NY",United States,https://atlog.ai,,engineering hiring,Voice AI That Won't Get You Sued,~2,LinkedIn,Founding Engineer / Software Engineer
671,Attune,"San Francisco, CA",United States,https://attunehq.com,,engineering hiring,"Faster builds, zero effort. Tags: Developer Tools, Infrastructure",~3,LinkedIn,Founding Engineer / Software Engineer
672,Auctor,"New York City, NY",United States,https://getauctor.com,,engineering hiring,"The agentic operating system for modern system integrators. Tags: Generative AI, SaaS, Productivity",11-50,LinkedIn,Founding Engineer / Software Engineer
673,Aurorin CAD,"San Francisco, CA",United States,https://aurorincad.com,,engineering hiring,Claude code for Mechanical Engineers,~1,LinkedIn,Founding Engineer / Software Engineer
674,Autonomous Technologies Group,"New York City, NY",United States,https://becomeautonomous.com,,engineering hiring,"Superintelligent financial advisor Tags: Artificial Intelligence, Consumer Finance",1-10,LinkedIn,Founding Engineer / Software Engineer
675,Autosana,"San Francisco, CA",United States,https://autosana.ai,,engineering hiring,"AI agents for E2E testing across mobile & web Tags: Developer Tools, B2B, Enterprise Software, AI",~4,LinkedIn,Founding Engineer / Software Engineer
676,Avallon AI,"New York City, NY",United States,https://www.avallon.ai,,engineering hiring,AI agents for insurance claims operations,1-10,LinkedIn,Founding Engineer / Software Engineer
677,Avent,"San Francisco, CA",United States,https://www.aventindustrial.com,,engineering hiring,AI agents for industrial commerce,~3,LinkedIn,Founding Engineer / Software Engineer
678,Axle Health,"Santa Monica, CA",United States,https://www.axlehealth.com,,engineering / hiring,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,"Senior Software Engineer, Interoperability"
679,b12 Labs,"San Francisco, CA",United States,https://b12-labs.com,,engineering hiring,"Making hard molecules for Pharma and Biotech Tags: AI-powered Drug Discovery, Robotics",~3,LinkedIn,Founding Engineer / Software Engineer
